control,variant,vus,replica,cpu_total_m,mem_total_Mi
C4,baseline,1,1,388,140
C4,baseline,1,2,93,140
C4,baseline,1,3,592,140
C4,baseline,1,4,678,140
C4,baseline,1,5,708,140
C4,baseline,1,6,640,140
C4,baseline,1,7,708,140
C4,baseline,1,8,659,140
C4,moderate,1,1,65,138
C4,moderate,1,2,89,138
C4,moderate,1,3,54,138
C4,moderate,1,4,53,138
C4,moderate,1,5,52,138
C4,moderate,1,6,51,138
C4,moderate,1,7,51,138
C4,moderate,1,8,54,138
C4,strict,1,1,36,150
C4,strict,1,2,28,150
C4,strict,1,3,28,150
C4,strict,1,4,28,150
C4,strict,1,5,28,150
C4,strict,1,6,28,150
C4,strict,1,7,30,150
C4,strict,1,8,47,150
C4,baseline,5,1,20,140
C4,baseline,5,2,987,141
C4,baseline,5,3,960,140
C4,baseline,5,4,1029,141
C4,baseline,5,5,968,140
C4,baseline,5,6,954,140
C4,baseline,5,7,914,143
C4,baseline,5,8,950,140
C4,moderate,5,1,157,138
C4,moderate,5,2,58,138
