control,variant,vus,replica,cpu_total_m,mem_total_Mi
C3,baseline,1,1,440,136
C3,baseline,1,2,643,135
C3,baseline,1,3,344,138
C3,baseline,1,4,248,139
C3,baseline,1,5,341,141
C3,baseline,1,6,242,143
C3,baseline,1,7,255,144
C3,baseline,1,8,259,147
C3,basic,1,1,476,135
C3,basic,1,2,425,136
C3,basic,1,3,256,139
C3,basic,1,4,250,140
C3,basic,1,5,268,142
C3,basic,1,6,265,143
C3,basic,1,7,260,144
C3,basic,1,8,326,147
C3,strict,1,1,1131,157
C3,strict,1,2,805,157
C3,strict,1,3,270,159
C3,strict,1,4,416,159
C3,strict,1,5,250,162
C3,strict,1,6,261,163
C3,strict,1,7,255,164
C3,strict,1,8,248,165
C3,baseline,5,1,120,149
C3,baseline,5,2,1127,166
C3,baseline,5,3,1087,170
C3,baseline,5,4,0,0
C3,baseline,5,5,0,0
C3,baseline,5,6,1018,185
C3,baseline,5,7,1175,186
C3,baseline,5,8,1108,198
C3,basic,5,1,396,150
C3,basic,5,2,1098,161
C3,basic,5,3,1107,169
C3,basic,5,4,1112,173
C3,basic,5,5,1067,183
C3,basic,5,6,1088,186
C3,basic,5,7,1086,200
C3,basic,5,8,1081,204
C3,strict,5,1,0,0
C3,strict,5,2,0,0
C3,strict,5,3,949,176
C3,strict,5,4,1056,181
C3,strict,5,5,1051,191
C3,strict,5,6,1098,201
C3,strict,5,7,1123,204
C3,strict,5,8,1105,218
C3,baseline,10,1,625,212
C3,baseline,10,2,2111,232
C3,baseline,10,3,2017,234
C3,baseline,10,4,2022,247
C3,baseline,10,5,0,0
C3,baseline,10,6,840,269
C3,baseline,10,7,1821,275
C3,baseline,10,8,1954,298
C3,basic,10,1,381,213
C3,basic,10,2,2054,243
C3,basic,10,3,1989,239
C3,basic,10,4,1954,264
C3,basic,10,5,0,0
C3,basic,10,6,1182,285
C3,basic,10,7,2063,295
C3,basic,10,8,2027,318
C3,strict,10,1,293,214
C3,strict,10,2,1904,237
C3,strict,10,3,0,0
C3,strict,10,4,1062,260
C3,strict,10,5,1911,269
C3,strict,10,6,1906,281
C3,strict,10,7,1998,294
C3,strict,10,8,1954,307
C3,baseline,20,1,1883,315
C3,baseline,20,2,1575,321
C3,baseline,20,3,2546,350
C3,baseline,20,4,3062,367
C3,baseline,20,5,0,0
C3,baseline,20,6,1238,245
C3,baseline,20,7,2971,426
C3,baseline,20,8,2759,442
C3,basic,20,1,935,324
C3,basic,20,2,2929,347
C3,basic,20,3,0,0
C3,basic,20,4,408,200
C3,basic,20,5,2894,414
C3,basic,20,6,2282,454
C3,basic,20,7,1696,443
C3,basic,20,8,2841,460
C3,strict,20,1,917,325
C3,strict,20,2,3026,333
C3,strict,20,3,2762,359
C3,strict,20,4,3129,382
C3,strict,20,5,2985,409
C3,strict,20,6,2806,419
C3,strict,20,7,2807,456
C3,strict,20,8,2687,454
